Newcastle upon Tyne,57270.00851,57859.63188,57952.17537,58411.76347,58762.70812,59296.77878,60436.86302,60885.45813,60765.59483,60070.26441,59625.44443,60478.51988,60815.77635,60234.94302,61113.8641,61991.97225,64365.20269,64962.39432,66846.54988,69062.83486,68762.14016,68269.08379,66429.28641,71560.40311,72899.03682,75779.19816,74006.96824,75062.08744,77068.02803,79603.65296,82769.39072,84493.44013,85950.22699,87637.36882,88654.47125,90705.02662,88596.78057,86969.91045,89464.07485,96073.94452,102163.8268,103841.357,105569.177,109258.6307,112930.376,114889.9644,115189.9434,118328.2449,121010.0313,121077.0122,120446.1899,122937.5376,125744.7971,131470.6503,135006.1782,141915.5271,141513.3525,140998.552,138127.8912,138849.681,137357.8903,137034.3519,132114.852,136638.3853,137242.0802,142724.1355,140831.6053,145493.4262,142837.6405,142122.4851,140395.2132,142557.7704,144031.2179,142754.6921,145160.7169,146973.9147,148769.1978,149774.1804,152222.4892,154309.0126,155905.281,156330.4759,157635.4139,158932.9089,160556.4839,159985.5822,158465.3532,156223.1511,159843.5733,162522.6948,164935.3902,164493.2315,162483.4135,161708.1632,159277.6787,159990.2721,160311.4426,160033.2482,157098.6267,155334.4545,155359.4652,155480.8635,156079.7029,154574.7515,154753.3357,148184.2222,145282.5152,137778.7408,136134.9556,134016.0971,135986.6872,136109.4676,134345.8825,135446.5614,138837.724,141811.3446,143230.6791,143165.6646,144183.4878,145553.4226,141935.5787,141031.3864,139384.729,143592.9427,144694.5938,145842.8997,146325.1352,147479.8388,146234.0806,146376.6819,144201.12,143810.5815,139425.1096,137674.576,135296.5937,135797.385,137205.5802,140423.591,140785.4794,139126.8888,137088.1489,136147.2934,135232.666,134175.5378,134038.2575,135546.7153,137542.7686,140459.5521,139132.7657,138504.8772,136662.5621,138894.1453,139037.9671,136033.1702,134478.5821,133085.6425,136422.9792,133148.8406,134351.6682,133749.7561,138507.3801,137858.0634,139187.5915,141411.2501,142616.8482,140329.6514,136601.2973,134030.6685,137129.1384,139314.0173,140992.7823,139256.6322,138407.3182,140977.0325,144792.0704,147610.1702,148052.606,142143.9037,141256.0036,140097.4443,144018.1255,144951.1242,146291.1447,149151.0551,150032.962,151948.9734,151277.9692,152311.1487,153037.2932,155242.6299,154535.0823,153387.861,152200.6404,150838.0434,151331.3465,149512.0418,152438.9839,153481.6328,157502.5363,158395.02,158213.5138,157693.6589,157745.8191,159255.0706,158624.6769,155035.8531,152718.5361,152994.3118,155427.1321,157384.694,158592.9931,162876.067
Brighton and Hove,97612.05609,98681.91855,100224.7403,101093.9196,103948.9165,107588.4196,110775.0093,113444.3014,114728.3128,113488.1659,111505.9651,111256.5974,113076.4606,114803.7818,116978.4942,118567.9595,121983.757,126246.6193,131090.6256,135196.4381,137237.3009,138843.6374,139081.4653,138756.5611,139476.3888,141778.3146,143184.7582,144720.4194,146888.6036,151028.7286,154857.6803,158508.4661,161530.3981,162532.0401,163459.377,163903.5118,167221.3214,168938.5677,172128.0611,174325.3046,176938.9336,178383.1761,179323.167,180705.2278,180821.8363,181621.6677,182344.5228,183198.4983,181878.452,181052.0662,181710.9533,185216.7722,189161.5778,192236.2652,194529.5696,198263.7826,200313.6626,202403.4339,200678.4663,203413.666,201619.1388,201304.1404,200260.92,200963.0061,204368.4929,202629.6148,204519.862,203385.1597,206092.0482,205528.4191,204664.4338,203049.5058,204372.5714,206268.4631,207804.0334,208109.123,211370.655,215072.2659,220918.8914,220879.7253,222457.7987,223561.629,225651.7665,228050.0536,229471.3022,233140.4382,235557.6992,239743.0745,242143.8005,245268.2362,248911.6524,254207.2817,257108.2809,256954.5185,254448.5474,250969.0288,248967.0615,249083.0001,251643.7201,247496.6838,247280.7623,242559.9707,240488.5414,233253.1099,229044.5982,227596.5572,222245.4004,214293.4474,207961.4956,204486.2324,202564.0813,202053.804,202762.4835,206431.5117,210931.7698,214654.2667,219908.9331,225157.575,227407.0393,227897.6473,228482.6886,233912.978,235622.5674,236159.107,237365.3849,243553.1971,247647.7629,249876.7339,250018.6663,247576.2646,245041.3293,240932.0115,237256.2617,234547.4429,234242.6498,238669.9765,240956.5003,244292.4462,245827.1607,248159.1348,247052.5087,242776.2811,242712.3954,244990.259,242877.9459,239972.7597,236815.9387,245333.2836,247098.7233,252103.9902,252239.131,256796.8976,258658.0432,256781.301,254979.7117,251223.1871,250802.476,251266.9749,252388.6359,253553.27,254261.9837,257556.4725,259798.2921,264346.6759,267404.6635,267865.4384,267980.2814,267381.5928,269647.0522,269096.5803,270882.8553,272035.5598,276053.7448,279053.2244,284460.7536,290154.5349,294204.0125,296263.6852,297111.8001,293747.6687,295975.7579,293207.3806,296738.4155,299046.4253,304334.2577,309900.4546,310795.4467,315487.7741,319654.6696,325289.029,326670.7161,326006.0317,325474.0126,329348.024,332644.1597,330457.5489,330867.8243,333672.1157,345301.3108,347812.5577,348256.6857,344106.5895,343110.4935,342415.2839,347104.5211,347336.0342,350061.7107,347773.8067,351639.7207,353901.0341,360236.5723,365601.2441
Winchester,136387.6827,137704.0834,139870.1486,143288.6194,146222.4531,147782.9526,149386.509,153938.1149,153420.8596,158236.5584,159381.9348,160932.5784,158040.4778,154538.8637,154600.7775,156187.8862,156860.2781,158848.606,165566.1004,169505.9978,176802.6241,175889.2538,181157.2449,180863.5559,180413.5006,178389.2891,178071.3673,186403.544,192357.0735,197656.4913,197402.3312,200302.1575,207443.3947,214165.6919,216568.0568,221458.1086,225950.6221,231314.3637,228497.3793,228579.1218,231856.1528,230814.6562,230833.9117,227782.455,231043.875,232099.3209,231940.3517,228587.8093,233800.866,235674.7596,238888.5611,233466.9113,235059.0489,245224.9167,247066.8338,249208.8071,245887.0702,251972.1098,253123.7376,250834.86,242458.0043,241950.0675,238756.0998,246055.7284,252864.1978,258259.0284,262029.8736,263247.9378,267825.2488,265680.8175,257988.9546,259168.8665,260945.517,266942.0551,267411.6318,260832.1867,260349.2119,259587.0694,269104.1696,273267.0576,276447.2174,273777.4224,272944.6633,271637.2134,277331.9155,279595.7674,281266.1516,281681.8922,283851.7876,287219.684,292885.2444,297018.399,309542.5163,314832.2112,324690.9067,315206.2024,313797.437,301283.1815,298563.7421,288850.4713,294167.6336,294498.2887,298554.9764,291867.0604,285877.4129,277506.9239,267868.6683,256645.6759,246575.7064,238821.1483,240435.1581,244663.7856,249310.7541,258434.4408,263432.3844,267647.6083,269441.5133,265422.9378,276112.1592,275877.3642,288170.6199,282519.4302,283603.298,287889.2382,293958.4644,295318.4986,291211.2633,289983.4375,289050.5964,288632.2242,293260.9315,294245.098,294717.2268,284481.2202,284832.5663,288872.8937,300483.6237,302350.0673,298007.8285,295046.7391,298472.6066,297278.3432,294567.3277,289951.0367,296637.2503,299430.4583,299574.54,302600.6754,303645.3338,308282.3217,297119.2205,297471.346,302845.3362,308168.5756,299210.8675,297073.3189,300796.4436,310896.1449,303111.2292,300157.8667,301766.3235,310446.2561,318003.9969,320273.9969,316607.7593,308678.7073,304543.8997,310446.1228,322252.7653,332837.2903,333230.052,329560.6728,329779.4515,341039.3214,343485.8468,350247.7024,351875.777,359110.4473,358102.8898,356963.8314,359382.8026,357157.9619,356530.2413,355290.1336,360429.8884,369459.776,375873.8448,375586.809,372729.3162,371761.9081,379162.7068,379850.9705,382494.7578,390215.3849,394811.4649,391619.1927,382000.4477,379621.0344,384035.1597,391404.7259,394058.3178,395208.265,396452.8637,396411.9402,405704.7027,403605.8201,408969.5368,412017.5008,416962.842,417323.4672,416077.9847,426033.0915
Chichester,126082.1636,126516.4539,133116.9482,136114.847,143680.3488,139657.4751,138457.2296,139371.8924,142709.2384,146166.7707,148219.1048,149264.2643,142747.1711,139328.3806,138974.7758,150107.5761,153784.8602,158360.8885,157511.373,158633.5787,160244.2412,160821.4745,162131.6632,161077.0534,159836.8345,160082.1065,164811.56,168404.5343,170531.9922,172181.6542,176485.568,183266.6531,188248.5075,195278.0842,199255.122,204180.1789,201351.6586,201572.9009,205846.6748,211008.4769,213397.308,210058.1937,216186.391,222108.7827,225793.1621,221710.6116,219210.9951,221577.593,232002.5319,231505.0628,238979.8887,228875.8306,228997.3973,224924.4443,229592.0361,239082.1415,246413.0171,249693.8141,253108.3916,247609.2655,246901.1098,239799.0114,238388.1806,240236.0069,244610.688,250165.0461,244910.4269,246550.8645,248550.1998,255916.9058,252572.9864,238724.7984,239232.5281,235192.3214,243740.6186,245349.2884,253551.9648,260729.1135,262511.0878,266093.4076,270174.9609,271471.5697,265572.5485,260984.2215,266473.6624,275917.1257,277408.5917,276141.1439,280339.8284,280167.9074,282170.7989,281538.5394,289589.7955,291021.3612,290048.526,281230.2869,275178.5548,268667.1503,271128.3712,273673.5753,283210.2005,287289.6993,288903.1368,289147.2205,285999.9764,287992.0633,281283.8378,272769.2555,245245.6057,231310.561,228593.7567,236980.1171,241631.2708,243092.2744,252025.4049,255294.6528,264271.5359,268175.8885,272581.7745,268359.5325,266727.9845,264705.903,267568.1717,269787.8887,277211.1212,277582.7176,279084.9173,282853.7595,287531.6076,289933.9065,285595.8749,277967.03,281164.6396,277874.8906,276697.769,276726.9106,281822.7443,289082.2397,286712.0113,284609.121,286152.1272,285608.1756,284150.489,279593.717,272071.2698,269025.1393,271581.6508,280793.6234,285339.1193,285429.7573,281691.6034,282403.8916,293631.8034,296931.9028,294095.1568,279363.7217,279649.8864,282376.5954,283533.3765,278730.8464,287086.4367,286828.9795,294906.6629,290173.6048,296299.7607,298842.0274,297181.9192,294455.1263,290578.5352,294867.0151,299282.2091,302072.0678,303621.5017,308429.7176,310947.4604,314966.5058,319274.0867,321742.4763,321543.2059,319878.3212,323309.5068,324430.5105,323382.1056,320552.2367,321841.3264,330104.5716,337824.468,341265.0688,340679.2117,343064.2018,348685.8571,349671.484,342006.4583,342642.0646,343133.5562,349890.9084,346357.1974,351758.3868,361067.9257,368733.1692,371886.7734,362759.7919,359109.3737,352506.5893,363066.0995,370283.1745,373587.4788,369571.579,370341.3689,374726.835,377200.0614,385099.8965
Salford,42271.16615,42429.94643,44133.87044,46168.81256,46823.84648,46050.72512,45843.51452,48044.43973,48050.50847,48991.47528,47320.52452,47341.35866,46921.16071,46524.2086,46896.95425,47246.45368,48315.06133,49098.25626,49893.44631,50052.40429,50399.93038,50246.66356,50449.37668,50320.77455,50566.78541,50736.305,51631.8814,52753.62269,54944.18095,55886.09625,57050.46497,59030.82536,62148.66981,64375.39989,66582.70045,66188.71335,65806.69633,65039.85121,64992.42238,66189.60056,68626.55321,72451.54992,75800.3191,76846.35126,79772.52149,80133.60406,82344.49936,83783.45909,86927.8171,87014.51788,85951.64079,87153.74832,90457.51417,93114.64615,96715.72704,100724.4549,105784.6743,107541.7055,109639.2563,111396.3966,110115.2605,108192.8378,109701.9267,112991.7011,116406.4289,114020.5095,113932.1884,115909.2727,117846.2348,118758.1645,114997.1816,114629.1248,115045.8076,118251.5046,118402.8723,118859.2752,118598.6708,120320.2024,122309.1728,123247.689,124222.8683,123716.8345,124525.8654,126202.3401,126600.034,128086.8012,126581.2618,129347.359,129814.7978,131746.8917,132359.1582,133083.6541,135751.9942,137106.8346,136172.9532,133727.2071,131764.7541,131663.6895,129755.5992,129053.1092,126265.4589,126401.4213,124294.7006,125824.5895,124591.3275,123585.1018,118742.9058,117006.0478,115990.9401,115411.5046,115034.5084,113240.3459,113915.1475,112331.252,111736.9407,111479.6973,111978.5032,111087.2566,111446.9491,112137.7716,112168.995,111662.8854,112510.7906,112408.9862,111192.5057,110235.2184,111902.4951,113991.431,112562.1665,111675.0088,111648.6818,110338.2794,110820.6875,109913.9844,110010.7371,108657.3384,108104.8527,107518.4734,107852.4798,109095.0636,110605.7244,110279.243,108301.4747,108625.159,107820.3636,108330.6564,107445.9881,108206.6484,108580.3095,109126.3874,109708.1838,108092.6503,108112.4206,108040.7936,109311.6953,109618.1166,109630.5684,108909.6924,107964.2684,106322.4288,107208.2549,108470.23,109733.5901,110444.3514,110872.7186,110983.1163,108556.6153,107500.8465,107056.6848,111253.2415,112765.2822,116779.774,115411.8027,117261.1728,117362.725,119387.6726,119682.2953,120193.1035,120327.4096,121572.13,122189.3533,123381.2784,123293.5381,123235.9219,123276.2069,123431.3584,126029.0243,125797.16,127811.399,126631.2214,128553.4717,127918.0575,128460.1884,129563.5437,130708.6567,133478.7482,137647.9958,139764.5015,142393.2502,141601.4709,143601.9979,142569.8353,145676.116,146333.4568,147727.0105,148563.2683,149866.5177,149168.7171,147480.9353,149530.0923,152984.5672,157364.6235
Liverpool,42294.04393,41809.91295,42291.48065,42989.54613,43821.80214,44179.09656,43967.20591,43967.2139,44159.07606,45115.38748,46069.54587,47289.88703,48226.61882,47683.18857,47445.72244,46925.13581,48194.95267,48806.92915,49563.79789,49830.52675,49881.38564,49784.53325,49890.17435,50411.15497,50539.22649,50363.21579,50917.196,51379.18065,52998.63899,53143.59532,55225.93482,54771.27981,55565.46105,54501.80336,55279.38849,56801.58068,57710.0662,58045.75734,57067.72758,58772.76542,58435.34707,60226.66193,60951.59662,66155.07717,68396.71709,70734.69023,72126.14192,74949.82417,76968.19398,79781.20974,81023.67768,84727.49546,87687.61747,92333.13159,96898.41183,99720.28097,101758.3603,101976.682,103528.614,105591.0435,104866.3223,102945.1298,102683.293,103801.2722,106868.3647,106516.8682,108602.3371,109082.612,111455.6074,111782.3764,113579.0174,115004.2365,116244.9539,117338.0081,115545.1641,118019.2071,118256.909,120771.0186,119676.9481,119861.0407,119617.293,119984.4871,121615.7462,123239.7339,124155.9014,123674.7912,123377.2019,123979.6788,124440.311,125253.2912,127287.0553,128999.6157,130248.5297,128918.4226,128299.6305,129579.9255,129125.1602,127281.4622,123949.197,124290.429,123891.4241,123398.0415,122502.704,122696.1591,122254.0226,119191.6842,116431.2464,113846.2263,112609.2148,113390.4734,110138.8946,109762.6315,106825.9332,108854.9747,110088.3253,114093.2785,115994.5178,114594.6468,113058.037,114270.2692,114246.1213,113843.9472,111321.8732,112648.5957,112246.1226,112261.6268,113298.0168,112829.3987,115449.8989,114660.029,114589.7279,112532.0844,111691.0171,109634.6871,108216.869,108400.5751,109010.1861,108731.6566,107822.7437,107877.9704,107895.3753,108322.8688,109766.5487,109861.8893,107289.9905,106539.0713,106792.1749,107662.2681,106465.0142,106312.9242,107543.2184,109299.5407,108639.524,106362.9955,104494.9645,105471.7574,105140.5433,105708.0553,103704.9459,104937.1683,105835.2769,108266.6171,107993.215,108192.7159,108909.4603,108990.123,107764.564,106756.7286,107449.5324,108047.0402,108564.9102,111507.2594,112439.1192,113845.7261,111529.8452,112881.464,113013.4304,115552.6417,114826.2022,112654.3345,111867.6464,113611.3913,113861.2661,114809.8526,113627.8966,115462.2223,116093.6681,116299.2248,118274.8813,116550.3939,118543.9607,117760.713,117071.6108,115933.0679,114190.2029,117608.5744,118896.8352,119707.6011,120614.1438,120194.3405,120758.5912,118020.0845,118818.1634,119534.5021,120404.8414,120514.3654,119438.7244,120993.2676,122070.7206,124478.5867,126726.4281,126862.0389
Bradford,46023.0404,46439.80829,46136.58888,46300.82492,46552.20178,47111.06461,46981.43153,46688.63849,47501.969,47780.31274,47659.63998,46785.16096,46702.37183,46533.72279,46548.69141,46892.26546,48297.28363,48989.87192,49688.52506,50185.02157,50953.18446,51099.5733,51046.53426,50872.61065,51125.54417,51651.64395,51460.64122,51726.45013,52777.46456,54251.76796,56026.8129,56454.5436,57173.50506,57129.71939,57950.10869,59249.65243,60041.58362,60741.83591,61063.82518,62387.1899,63911.30059,66006.73762,66738.25058,68679.68168,68721.27124,70286.90787,71213.17752,74370.7545,76399.20365,76657.50331,77035.02999,80311.37108,83710.61677,87109.58244,88845.34204,91729.48827,93793.0838,95624.2181,96757.03908,98449.3012,98592.70843,98510.27672,99021.07832,100709.6948,103556.1145,106464.1139,109283.8266,111380.7643,112385.7196,112907.4449,113561.5658,113759.9121,114315.1992,115101.7757,114978.4398,116036.8251,117077.7013,120062.4254,121822.6252,124655.6638,126809.892,127833.0503,127955.762,128164.8838,129906.9211,130187.6079,129273.2315,130691.6862,132159.3312,135383.4505,136291.8716,137850.8303,138695.1594,139124.3573,139639.9026,139183.5931,138723.6804,137360.2311,135705.1688,134302.3009,134514.8474,133854.9584,133969.1092,131194.3144,130869.8922,127908.8349,123934.734,121351.682,117281.2775,118522.8797,115088.9141,117313.6916,115843.0573,117973.2239,118265.4921,120926.3853,121846.0455,122703.4107,122918.2629,124008.7635,123290.9263,122376.5888,120317.2104,121405.8883,122856.7409,123787.1836,124566.6706,123898.7679,123701.3061,121454.1892,119268.9345,118494.1424,116746.1394,116987.1059,115866.0288,117273.529,118450.0228,118857.9939,119483.6202,119795.7461,120617.0812,117639.442,114599.7529,115742.0079,114221.5206,113835.885,112165.4831,113846.5969,114123.8952,113253.0949,114782.8286,115997.9169,115899.8813,116103.1876,114474.3247,114235.246,111618.1034,111109.0782,111225.6804,111501.7385,113580.5234,114299.1996,115982.9477,116513.3895,117585.1007,116385.8542,114737.2365,114306.7568,116461.2482,118326.5837,118259.9497,118062.6779,118595.6874,118971.109,120444.1866,121844.7621,121072.0226,119585.9006,117734.3066,119777.3366,119408.0978,118547.2355,116369.4166,116922.2564,119156.4106,122860.7921,125963.8824,127241.7883,127773.6093,127124.0845,127356.9296,126299.1388,126795.3732,126176.4,125082.8849,124904.0815,125439.7468,129569.8888,131640.2357,132820.4887,131373.6821,132196.5024,132165.2077,132054.4101,129646.1747,130603.631,129604.7257,130660.9408,130444.5486,133675.7583,135025.4441,138890.2706
East Riding of Yorkshire,55090.94382,55516.57485,56020.08539,56320.96767,57051.39972,57405.12829,57990.69682,58039.65934,59137.46032,59301.56935,59539.34276,60600.87476,61256.48664,61929.48921,60941.09645,61544.63674,61736.65639,61641.32084,62787.79065,63808.56401,65954.92262,65885.2707,66332.23902,66922.37079,67380.14136,69130.77556,70010.74916,72179.73406,73929.19819,76375.63751,79939.28399,81226.60113,84971.25159,86112.24723,89511.68916,90402.76602,93091.86608,91751.39365,91464.93257,92720.73474,95876.65515,97761.87351,99931.36368,102890.5198,106033.4966,107529.1826,109441.6663,111453.2134,113157.4872,114438.3191,115797.9078,118164.9429,122241.2962,128055.2184,131864.3875,133341.1579,134733.8384,136404.7127,137495.5467,136803.0495,134421.2045,139016.5979,140277.0091,141037.813,138751.9406,139729.4748,142755.84,144202.6385,145042.9703,144963.5735,145092.1849,145331.783,146135.6037,145453.5243,145325.2439,146884.5725,149741.9411,151724.6773,152348.4492,153451.4096,155452.5057,155461.5862,154987.5902,154876.6664,156462.6513,156353.907,155405.8432,156177.4772,158072.8801,160018.3925,162726.5548,162780.6712,163618.7331,161784.2271,163755.1975,163674.4069,164469.4289,163163.245,163197.6425,161860.1387,162651.0356,160016.8696,159640.356,157526.0304,158536.2505,154809.2862,153588.6757,148934.0061,144639.6921,137454.8172,134160.2504,135287.8799,138392.6582,140334.3667,144601.9101,145976.396,147301.6271,146351.2885,146999.5139,147352.0428,146853.6249,144360.189,144272.4986,145086.9352,147301.7389,148801.2975,149707.6433,150090.8074,149477.8722,147779.5258,147024.9088,146682.6504,144791.2851,143962.8641,142068.9364,143900.8886,144327.5857,144930.6709,143611.0324,144315.0699,146005.9371,147555.8353,147749.2642,146218.7351,145234.7569,142873.0295,142175.8044,140994.8189,143199.834,145302.2297,144377.5224,143330.6698,141337.2908,142327.7457,141781.2574,143803.8302,141415.102,140701.6513,138868.9979,142431.1712,142274.5019,145035.1619,146418.0986,148074.2464,147311.8293,146247.6494,146464.1661,145630.4039,145665.9236,145781.9554,146558.3935,148006.9867,149329.9162,149358.5161,149419.733,149656.7234,149929.3812,151739.7046,152835.3419,153559.1586,151684.6306,152203.9249,152643.6849,153402.5311,153118.6962,152522.3147,154407.1606,156686.9837,159799.8609,159180.4854,158897.7934,157638.2035,157999.0601,159411.5801,160438.3587,161544.9913,160207.8721,162615.6452,163312.5255,165514.2802,165888.2137,166042.1594,165034.0174,163557.7265,163383.4703,164510.762,164417.6449,166839.9462,167705.8497,171508.8144,174487.7389,176032.8667
Canterbury,83492.68743,85586.62031,85822.34909,87360.632,89190.14738,90556.21849,92674.56537,92915.81918,92674.934,93714.0239,94958.61525,96799.64094,96131.8827,97407.07984,97982.22067,98881.8045,98287.08925,100207.6718,102083.4016,106146.1045,107332.673,109387.6368,109289.6884,109977.8023,111489.3918,112292.9434,113043.4849,112347.7289,112511.327,115137.7266,118889.089,122320.6278,126686.357,130111.7924,134011.5973,135210.1454,137534.0969,139339.1251,139639.1629,140487.8405,142128.5254,143708.2419,147969.322,151927.2774,155745.6454,154329.6119,153175.1045,156089.4668,160554.5836,165344.1761,166171.7231,163758.8557,167785.6504,169712.0981,175313.6983,172476.5182,174053.656,175780.4982,176624.9513,174056.758,172974.1782,171520.5425,172525.0729,172994.5543,175738.3274,178616.4553,178173.1875,178386.5659,178955.815,177796.0548,180204.4347,178346.3468,178996.597,178489.5465,180834.2376,182396.632,183850.2702,184941.2826,186699.9028,187843.2787,189991.1332,190146.1151,189863.8274,188213.1247,191175.3097,194506.7651,197509.457,200121.7242,202812.1028,205510.8415,207848.0659,207423.3716,211454.2134,212720.9758,212981.9874,212093.8587,210499.5132,208263.6171,206584.5072,205199.5182,210073.8367,210128.3514,212070.9583,207137.1467,201968.8081,197294.5611,188465.3545,187859.7267,182572.3015,186025.9033,180590.8718,179815.747,176488.0505,176341.8094,179201.6877,184884.4907,189447.4904,190985.5146,189254.8513,190933.2449,194746.4017,196723.9712,196395.9011,193481.8776,194195.9977,195484.9791,199367.9411,204522.2255,209133.6442,210580.3186,206070.6999,202999.6845,199882.3524,201588.1198,198386.5534,197047.4334,196791.6942,200872.8083,200812.6754,200008.3676,199404.6035,199328.7177,199596.2511,198715.8444,196234.1319,192740.2375,192132.7547,197993.5496,202246.327,204642.2934,203766.3004,204127.1579,204370.6596,204848.668,204732.7671,204148.7707,201850.714,202096.5586,202185.9998,205126.6233,206987.6768,208834.8789,211221.2124,213231.4756,213201.3706,213451.3846,211115.0384,214017.5091,215285.7638,220423.6665,219369.8342,223374.9488,225938.7509,233861.2778,235713.9106,238849.6628,238927.706,240131.43,239151.1293,238365.0961,237748.5425,240441.0379,242062.6895,245008.7741,244915.4219,245100.5048,247068.9465,248914.5774,251732.5783,251208.6929,250724.0904,254301.8194,253650.9484,259038.0465,262380.4423,265463.3718,264357.3718,261882.9929,267987.3587,272577.9137,276719.9221,279682.9579,283908.3973,284485.3258,282324.9387,279234.593,280197.2013,284117.1502,285911.2636,287399.5369,285648.7024,286775.5241
London,130410.6112,132705.3806,134286.0932,140670.2726,140861.8441,143541.8844,146228.2058,147284.2636,147316.4398,145625.9532,147666.3251,147483.0454,149543.2598,149776.338,150941.3523,152865.4801,157155.9708,158760.1771,161122.2779,164628.3601,164820.3474,166189.3521,167213.8399,167692.7516,169840.6632,170501.5657,172748.9568,178217.5213,182805.2607,186038.3234,191162.1883,195333.1199,197044.8486,199092.3697,202526.7828,203437.4467,207162.34,206464.2219,205573.1124,207953.3595,210582.5633,208940.7784,213806.4541,212692.167,212900.6703,214607.8143,215556.1606,216971.4174,218855.4575,219803.6063,221323.7542,225862.7176,227330.3145,230156.3201,233876.8558,234835.526,234133.6259,232287.072,234718.2209,230184.9674,232422.1606,231321.1009,231263.1991,235367.2452,235685.1628,235898.8337,237871.6126,237971.1048,236915.5232,234297.8656,236560.7683,238376.6528,239845.5309,239114.9725,241380.3315,245474.4153,247591.1474,251417.4307,253882.7406,256703.7586,257541.4652,259114.5995,258813.5529,264494.1856,267658.3296,270779.8163,273479.205,278805.0539,282726.2531,285957.5057,295693.6582,297653.4184,298413.8077,298559.0729,297647.7276,297994.338,298596.4128,295700.4441,293604.5433,294346.2729,295163.3266,290100.4863,290261.0368,281721.4203,276486.6022,266999.0511,258647.4978,253881.051,253092.6023,249846.6228,247263.973,245350.7497,249991.2528,253595.924,259792.6214,262075.5473,267500.9223,268780.2051,266836.5268,270118.1305,279724,278753.4281,280472.1517,281981.0128,281762.2457,284540.7449,292771.7301,290645.8772,290093.0646,286130.6712,282289.5362,285353.0741,287982.8882,285226.7229,287091.9424,293992.5019,284721.751,285905.9657,295843.2159,294902.9068,295358.0831,292266.5855,291036.3036,292284.0988,294360.4398,292381.4559,290378.6108,299064.7443,304081.1706,306823.3901,308961.5017,310043.0091,308468.7338,310281.0781,308539.5826,313744.2327,311364.3411,313549.9034,312289.3093,320921.2527,322324.279,324518.3441,332988.3209,335742.5298,340494.0177,340044.8339,343749.3242,352028.127,355829.6511,357875.8362,361400.0389,375336.8031,382704.6087,387182.1043,398737.3718,404754.4481,403669.6168,402300.0222,400803.1627,402898.3623,402847.4493,404773.4202,404705.9013,410445.0694,415816.9196,419474.3104,431643.612,436151.6431,439729.3128,440484.3845,445484.7572,450053.1608,457465.5885,457758.5483,464647.4486,461068.1547,467484.5227,468119.9898,475529.7837,471945.5535,471717.3129,471155.1034,470940.262,472587.1015,476480.8612,475790.0158,472314.2766,477130.4297,478395.903,485209.4587,489169.4816,484362.4104
