annual population survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 16 November 2017],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis   :,variable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Confidence :,95% confidence interval of percent figure (+/-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date       :,Jul 2016-Jun 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,Numerator,Denominator,% of all people aged 16+ who are male,Conf,Numerator,Denominator,% of all people aged 16+ who are female,Conf,Numerator,Denominator,% of all people aged 16+ who are aged 16-64,Conf,Numerator,Denominator,% of males aged 16+ who are aged 16-64,Conf,Numerator,Denominator,% of females aged 16+ who are aged 16-64,Conf,Numerator,Denominator,% of aged 16-64 who are male,Conf,Numerator,Denominator,% of aged 16-64 who are female,Conf,Numerator,Denominator,% of all 16+ who are aged 16-19,Conf,Numerator,Denominator,% of all 16+ who are aged 20-24,Conf,Numerator,Denominator,% of all 16+ who are aged 25-34,Conf,Numerator,Denominator,% of all 16+ who are aged 35-49,Conf,Numerator,Denominator,% of all 16+ who are aged 50-64,Conf,Numerator,Denominator,% of all 16+ who are aged 65+,Conf,Numerator,Denominator,% of all 16+ who are aged 16-24,Conf,Numerator,Denominator,% of all 16+ who are aged 25-49,Conf,Numerator,Denominator,% of all 16+ who are aged 50+,Conf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ualad09:Derby,101600,204900,49.6,2.9,103300,204900,50.4,2.9,160500,204900,78.3,2.4,81400,101600,80.1,3.4,79100,103300,76.5,3.4,81400,160500,50.7,3.4,79100,160500,49.3,3.4,13300,204900,6.5,1.4,18600,204900,9.1,1.7,37800,204900,18.5,2.3,49100,204900,24,2.5,41500,204900,20.3,2.3,44400,204900,21.7,2.4,32000,204900,15.6,2.1,87000,204900,42.5,2.9,85900,204900,41.9,2.9
ualad09:Leicester,136700,275000,49.7,2.9,138300,275000,50.3,2.9,230300,275000,83.7,2.1,116000,136700,84.9,3,114300,138300,82.6,3,116000,230300,50.4,3.1,114300,230300,49.6,3.1,20600,275000,7.5,1.5,28300,275000,10.3,1.7,57400,275000,20.9,2.3,67900,275000,24.7,2.5,56000,275000,20.4,2.3,44700,275000,16.3,2.1,48900,275000,17.8,2.2,125300,275000,45.6,2.8,100700,275000,36.6,2.8
ualad09:Lincoln,39500,78200,50.5,7.4,38700,78200,49.5,7.4,64600,78200,82.6,5.6,32400,39500,82,8.4,32200,38700,83.2,7.6,32400,64600,50.1,8.3,32200,64600,49.9,8.3,5100,78200,6.5,3.6,6200,78200,7.9,4,15600,78200,20,5.9,22200,78200,28.3,6.7,15600,78200,19.9,5.9,13600,78200,17.4,5.6,11300,78200,14.4,5.2,37800,78200,48.3,7.4,29200,78200,37.3,7.1
ualad09:Nottingham,132200,266400,49.6,2.8,134200,266400,50.4,2.8,218100,266400,81.9,2.2,112300,132200,84.9,2.9,105800,134200,78.8,3.2,112300,218100,51.5,3.2,105800,218100,48.5,3.2,20500,266400,7.7,1.5,30600,266400,11.5,1.8,52700,266400,19.8,2.2,58200,266400,21.9,2.3,56000,266400,21,2.3,48300,266400,18.1,2.2,51100,266400,19.2,2.2,111000,266400,41.7,2.8,104300,266400,39.2,2.7
ualad09:Cambridge,54900,105700,51.9,6.9,50800,105700,48.1,6.9,93300,105700,88.3,4.4,50200,54900,91.5,5.6,43100,50800,84.8,6.9,50200,93300,53.8,7.4,43100,93300,46.2,7.4,6600,105700,6.3,3.3,12600,105700,11.9,4.5,24300,105700,23,5.8,29200,105700,27.7,6.2,20500,105700,19.4,5.4,12400,105700,11.7,4.4,19200,105700,18.2,5.3,53500,105700,50.6,6.9,32900,105700,31.2,6.4
ualad09:Chelmsford,65400,135000,48.5,5.7,69600,135000,51.5,5.7,110100,135000,81.6,4.4,53800,65400,82.2,6.3,56400,69600,81,6.2,53800,110100,48.8,6.3,56400,110100,51.2,6.3,4000,135000,3,*,5200,135000,3.9,*,28500,135000,21.1,4.6,38800,135000,28.7,5.1,33500,135000,24.8,4.9,24900,135000,18.4,4.4,9200,135000,6.8,2.9,67400,135000,49.9,5.7,58400,135000,43.3,5.6
ualad09:Norwich,54000,114300,47.3,6.2,60300,114300,52.7,6.2,96200,114300,84.2,4.6,47900,54000,88.5,5.8,48400,60300,80.3,6.8,47900,96200,49.7,6.8,48400,96200,50.3,6.8,6600,114300,5.8,2.9,17700,114300,15.5,4.5,19000,114300,16.6,4.7,25600,114300,22.4,5.2,27300,114300,23.9,5.3,18100,114300,15.8,4.6,24300,114300,21.3,5.1,44600,114300,39,6.1,45400,114300,39.7,6.1
ualad09:St Albans,57200,119900,47.7,6.2,62700,119900,52.3,6.2,89500,119900,74.6,5.4,44100,57200,77.1,7.6,45400,62700,72.4,7.7,44100,89500,49.2,7.4,45400,89500,50.8,7.4,7300,119900,6.1,3,7000,119900,5.8,2.9,14600,119900,12.2,4.1,36500,119900,30.4,5.7,24200,119900,20.1,5,30400,119900,25.4,5.4,14300,119900,11.9,4,51100,119900,42.6,6.2,54600,119900,45.5,6.2
ualad09:Barking and Dagenham,71600,151800,47.2,4.1,80200,151800,52.8,4.1,130600,151800,86,2.8,63800,71600,89.1,3.8,66800,80200,83.2,4.1,63800,130600,48.9,4.4,66800,130600,51.1,4.4,8000,151800,5.2,1.8,12300,151800,8.1,2.2,31600,151800,20.8,3.3,47500,151800,31.3,3.8,31200,151800,20.5,3.3,21300,151800,14,2.8,20300,151800,13.4,2.8,79100,151800,52.1,4.1,52500,151800,34.5,3.9
ualad09:Barnet,151100,314500,48.1,3.9,163400,314500,51.9,3.9,254500,314500,80.9,3.1,126000,151100,83.4,4.3,128500,163400,78.6,4.4,126000,254500,49.5,4.5,128500,254500,50.5,4.5,21300,314500,6.8,2,28100,314500,8.9,2.2,58000,314500,18.5,3.1,79300,314500,25.2,3.4,67700,314500,21.5,3.2,60000,314500,19.1,3.1,49400,314500,15.7,2.9,137400,314500,43.7,3.9,127700,314500,40.6,3.9
ualad09:Bexley,93300,197200,47.3,3.9,103900,197200,52.7,3.9,157200,197200,79.7,3.1,74700,93300,80.1,4.5,82500,103900,79.4,4.3,74700,157200,47.5,4.4,82500,157200,52.5,4.4,10600,197200,5.4,1.7,16500,197200,8.4,2.1,27000,197200,13.7,2.7,52800,197200,26.8,3.4,50200,197200,25.5,3.4,40000,197200,20.3,3.1,27100,197200,13.8,2.7,79800,197200,40.5,3.8,90200,197200,45.8,3.9
ualad09:Brent,128800,251100,51.3,3.6,122300,251100,48.7,3.6,223400,251100,89,2.3,116000,128800,90.1,3.1,107400,122300,87.8,3.3,116000,223400,51.9,3.9,107400,223400,48.1,3.9,19500,251100,7.8,2,23700,251100,9.4,2.1,56800,251100,22.6,3.1,75700,251100,30.1,3.3,47800,251100,19,2.9,27700,251100,11,2.3,43200,251100,17.2,2.8,132500,251100,52.8,3.6,75500,251100,30.1,3.3
ualad09:Bromley,124600,261000,47.7,3.8,136400,261000,52.3,3.8,204500,261000,78.3,3.2,99300,124600,79.7,4.5,105200,136400,77.1,4.4,99300,204500,48.6,4.4,105200,204500,51.4,4.4,10700,261000,4.1,1.5,15200,261000,5.8,1.8,52700,261000,20.2,3.1,68400,261000,26.2,3.4,57500,261000,22,3.2,56500,261000,21.7,3.2,25900,261000,9.9,2.3,121100,261000,46.4,3.8,114000,261000,43.7,3.8
ualad09:Camden,104000,207100,50.2,3.9,103000,207100,49.8,3.9,176300,207100,85.2,2.7,90300,104000,86.8,3.8,86000,103000,83.5,4,90300,176300,51.2,4.3,86000,176300,48.8,4.3,10300,207100,5,1.7,16600,207100,8,2.1,55100,207100,26.6,3.4,57300,207100,27.7,3.5,37100,207100,17.9,3,30700,207100,14.8,2.7,26900,207100,13,2.6,112400,207100,54.3,3.8,67800,207100,32.8,3.6
ualad09:City of London,5100,8900,57.2,*,3800,8900,42.8,*,6900,8900,77.5,*,4400,5100,85.3,*,2600,3800,67.2,*,4400,6900,62.9,*,2600,6900,37.1,*,!,8900,!,!,!,8900,!,!,!,8900,!,!,!,8900,!,!,#,8900,23,*,2000,8900,22.5,*,!,8900,!,!,3000,8900,33.3,*,4100,8900,45.5,*
ualad09:Croydon,144400,298200,48.4,3.7,153900,298200,51.6,3.7,249300,298200,83.6,2.8,121700,144400,84.3,3.9,127600,153900,82.9,3.9,121700,249300,48.8,4.2,127600,249300,51.2,4.2,17100,298200,5.7,1.7,17600,298200,5.9,1.8,62500,298200,20.9,3,85300,298200,28.6,3.4,66800,298200,22.4,3.1,49000,298200,16.4,2.8,34800,298200,11.7,2.4,147800,298200,49.5,3.7,115700,298200,38.8,3.6
ualad09:Ealing,139000,268300,51.8,4.4,129300,268300,48.2,4.4,231300,268300,86.2,3,118300,139000,85.1,4.5,113000,129300,87.4,4,118300,231300,51.1,4.8,113000,231300,48.9,4.8,10500,268300,3.9,1.7,21800,268300,8.1,2.4,60700,268300,22.6,3.7,79400,268300,29.6,4,58800,268300,21.9,3.6,37000,268300,13.8,3,32400,268300,12.1,2.8,140100,268300,52.2,4.4,95800,268300,35.7,4.2
ualad09:Enfield,120600,251400,48,4.2,130800,251400,52,4.2,215900,251400,85.9,2.9,105400,120600,87.4,4.2,110500,130800,84.5,4.2,105400,215900,48.8,4.6,110500,215900,51.2,4.6,18100,251400,7.2,2.2,15400,251400,6.1,2,43000,251400,17.1,3.2,79400,251400,31.6,3.9,60000,251400,23.9,3.6,35500,251400,14.1,2.9,33500,251400,13.3,2.9,122300,251400,48.7,4.2,95500,251400,38,4.1
