City,Uber status,Date started,
,,,
Bath,Y,Jun-16,Bath and North East Somerset
Birmingham,Y,Feb-15,Birmingham
Bradford,Y,May-15,Bradford
Brighton & Hove,Y,Oct-15,Brighton and Hove
Bristol,Y,Jun-15,"Bristol, City of"
Cambridge,Y,Nov-16,Cambridge
Canterbury,N,NA,Canterbury
,,,
Carlisle,N,NA,Carlisle
Chelmsford,N,NA,Chelmsford
Chester,Y,Jul-17,Cheshire West and Chester
Chichester,Y,Mar-17,Chichester
Coventry,N,NA,Coventry
Derby,Y,Jul-17,Derby
Durham,Y,Oct-17,County Durham
Ely,N,NA,East Cambridgeshire
Exeter,N,NA,Exeter
Gloucester,N,NA,Gloucester
Hereford,N,NA,"Herefordshire, County of"
Kingston upon Hull,N,NA,"Kingston upon Hull, City of"
Lancaster,Y,Mar-15,Lancaster
Leeds,Y,Nov-14,Leeds
Leicester,Y,Nov-15,Leicester
Lichfield,N,NA,Lichfield
Lincoln,N,NA,Lincoln
Liverpool,Y,Aug-15,Liverpool
London,Y,Jul-12,
Manchester,Y,May-14,Manchester
Newcastle upon Tyne,Y,Apr-15,Newcastle upon Tyne
,,,
Norwich,N,NA,Norwich
Nottingham,Y,Nov-15,Nottingham
Oxford,Failed,NA,Oxford
Peterborough,Y,Nov-16,Peterborough
Plymouth,Maybe,NA,Plymouth
Portsmouth,Y,Nov-15,Portsmouth
Preston,N,NA,Preston
Ripon,N,NA,Harrogate
St Albans,Y,May-17,St Albans
,,,
Salford,Y,May-14,Salford
,,,
Salisbury,N,NA,
Sheffield,Y,Jun-15,Sheffield
Southampton,Y,Apr-16,Southampton
Stoke-on-Trent,Y,Jul-16,Stoke-on-Trent
Sunderland,Y,Apr-16,Sunderland
,,,
Truro,N,NA,
Wakefield,Y,Mar-15,Wakefield
Wells,N,NA,
Winchester,N,NA,Winchester
Wolverhampton,Y,Jul-17,Wolverhampton
Worcester,N,NA,Worcester
York,Y,Sep-16,York
