Department for Transport statistics,,,,,,,,,,,,,,,,,
Taxi Statistics (https://www.gov.uk/government/organisations/department-for-transport/series/taxi-statistics),,,,,,,,,,,,,,,,,
Table TAXI0104 [2013 data],,,,,,,,,,,,,,,,,
"Taxis, Private Hire Vehicles (PHVs) and their drivers: England and Wales by licensing area, 31 March 2013 1",,,,,,,,,,,,,,,,,
The figures in this table are outside the scope of National Statistics,,,,,,,,,,,,,,,,,Number
,,,,,Licensed taxis and taxi drivers,,,,,Private hire vehicles (PHVs),,,,,,,
LA code,Licensing Authority,,,,Wheelchair accessible taxis 4,"Other 
taxis 4","Total 
taxis",Taxi only licensed drivers,,Wheelchair accessible PHVs 5,"Vehicle licences 
issued","Operator 
licences 
issued",PHV only Licenced Drivers,,Dual taxi/PHV driver licences,"Total 
driver 
licences 
issued",Total licensed vehicles
E12000001,North East,,,,"1,184","3,320","4,504","4,450",,154,"5,460",365,"4,918",,"3,740","13,108","9,964"
E06000048,,Northumberland,,,78,467,545,875,,7,231,41,542,,0,"1,417",776
E06000005,,Darlington,,,7,175,182,223,,3,58,3,112,,41,376,240
E06000047,,County Durham,,,28,"1,074","1,102",900,,21,330,127,207,,507,"1,614","1,432"
E11000004,,Tyne and Wear,,,907,903,"1,810","1,986",,63,"3,548",133,"2,611",,"2,175","6,772","5,358"
E08000020,,,Gateshead,,163,78,241,158,,6,476,19,365,,179,702,717
E08000021,,,Newcastle upon Tyne,,441,339,780,815,,..,"1,052",38,"1,165",,527,"2,507","1,832"
E08000022,,,North Tyneside,,100,104,204,46,,26,"1,140",25,86,,"1,229","1,361","1,344"
E08000023,,,South Tyneside,,24,212,236,200,,31,333,14,298,,125,623,569
E08000024,,,Sunderland,,179,170,349,767,,..,547,37,697,,115,"1,579",896
E06000001,,Hartlepool,,,22,142,164,160,,2,167,5,304,,59,523,331
E06000003,,Redcar and Cleveland,,,9,97,106,29,,4,270,22,255,,177,461,376
E06000002,,Middlesbrough,,,110,190,300,201,,1,479,7,493,,401,"1,095",779
E06000004,,Stockton-on-Tees,,,23,272,295,76,,8,377,27,394,,380,850,672
E12000002,North West,,,,"5,464","2,807","8,271","10,760",,917,"22,510","1,674","24,252",,"5,606","40,618","30,781"
E10000006,,Cumbria,,,104,832,936,"1,212",,..,441,137,720,,0,"1,932","1,377"
E07000026,,,Allerdale,3,3,138,141,203,,..,53,29,95,,0,298,194
E07000027,,,Barrow-in-Furness,,6,144,150,202,,..,202,19,301,,0,503,352
E07000028,,,Carlisle,,78,126,204,266,,10,55,23,71,,0,337,259
E07000029,,,Copeland,,3,144,147,199,,2,74,29,139,,0,338,221
E07000030,,,Eden,,8,72,80,99,,5,36,18,68,,0,167,116
E07000031,,,South Lakeland,,6,208,214,243,,7,21,19,46,,0,289,235
E06000008,,Blackburn with Darwen,,,70,0,70,138,,15,659,32,745,,0,883,729
E06000009,,Blackpool,,,147,109,256,433,,8,341,16,427,,204,"1,064",597
E10000017,,Lancashire,,,366,922,"1,288","2,027",,..,"2,642",331,"3,312",,578,"5,917","3,930"
E07000117,,,Burnley,,41,0,41,52,,7,287,38,540,,0,592,328
E07000118,,,Chorley,,7,29,36,53,,0,144,18,137,,119,309,180
E07000119,,,Fylde,,4,95,99,130,,5,140,25,160,,59,349,239
E07000120,,,Hyndburn,,10,52,62,37,,3,355,23,386,,91,514,417
E07000121,,,Lancaster,,15,94,109,185,,..,220,51,270,,175,630,329
E07000122,,,Pendle,,5,66,71,45,,27,211,39,292,,119,456,282
E07000123,,,Preston,3,187,0,187,350,,..,477,26,659,,0,"1,009",664
E07000124,,,Ribble Valley,,4,48,52,51,,3,83,35,117,,11,179,135
E07000125,,,Rossendale,,6,303,309,593,,0,5,4,8,,0,601,314
E07000126,,,South Ribble,,12,99,111,151,,..,200,26,253,,0,404,311
E07000127,,,West Lancashire,,51,0,51,47,,2,397,18,308,,4,359,448
E07000128,,,Wyre,,24,136,160,333,,20,123,28,182,,0,515,283
E11000002,,Merseyside,,,"2,156",111,"2,267","3,505",,..,"6,794",278,"7,052",,826,"11,383","9,061"
E08000011,,,Knowsley,,222,0,222,264,,20,"1,017",27,"1,016",,0,"1,280","1,239"
E08000012,,,Liverpool,,"1,426",0,"1,426","2,551",,..,"1,588",64,"1,879",,116,"4,546","3,014"
E08000014,,,Sefton,,160,111,271,385,,39,"2,784",55,"3,250",,0,"3,635","3,055"
E08000013,,,St. Helens,3,63,0,63,0,,..,472,61,0,,710,710,535
E08000015,,,Wirral,,285,0,285,305,,0,933,71,907,,0,"1,212","1,218"
E11000001,,Greater Manchester,,,"1,906",245,"2,151","3,445",,..,"9,826",474,"11,975",,245,"15,665","11,977"
E08000001,,,Bolton,,110,0,110,153,,..,"1,250",72,"1,540",,0,"1,693","1,360"
E08000002,,,Bury,,91,0,91,123,,48,724,44,875,,0,998,815
E08000003,,,Manchester,,"1,083",0,"1,083","1,965",,..,"2,619",42,"2,959",,0,"4,924","3,702"
E08000004,,,Oldham,,20,65,85,113,,0,784,46,975,,87,"1,175",869
E08000005,,,Rochdale,,23,86,109,159,,0,992,26,"1,247",,6,"1,412","1,101"
E08000006,,,Salford,,106,0,106,146,,30,892,51,"1,153",,0,"1,299",998
E08000007,,,Stockport,,138,1,139,201,,..,730,62,971,,0,"1,172",869
E08000008,,,Tameside,,149,0,149,178,,49,437,32,455,,152,785,586
E08000009,,,Trafford,,143,0,143,223,,55,700,27,756,,0,979,843
E08000010,,,Wigan,,43,93,136,184,,53,698,72,"1,044",,0,"1,228",834
E06000049,,Cheshire East,,,113,439,552,0,,7,301,131,0,,"1,150","1,150",853
E06000050,,Cheshire West and Chester,,,279,55,334,0,,49,978,146,0,,"1,544","1,544","1,312"
E06000006,,Halton,,,267,0,267,0,,130,130,14,0,,427,427,397
E06000007,,Warrington,,,55,95,150,0,,5,398,115,21,,632,653,548
E12000003,Yorkshire and the Humber,,,,"2,120","1,947","4,067","2,951",,488,"15,598","1,500","13,484",,"9,497","25,932","19,665"
E10000023,,North Yorkshire,,,81,542,623,202,,..,676,429,158,,"1,416","1,776","1,299"
E07000163,,,Craven,,15,105,120,116,,1,12,9,12,,4,132,132
E07000164,,,Hambleton,,6,104,110,0,,4,37,13,0,,187,187,147
E07000165,,,Harrogate,,16,132,148,0,,10,257,305,0,,558,558,405
E07000166,,,Richmondshire,,2,63,65,0,,2,36,12,0,,120,120,101
E07000167,,,Ryedale,,0,28,28,22,,1,25,17,32,,31,85,53
E07000168,,,Scarborough,,12,93,105,0,,18,234,31,0,,516,516,339
E07000169,,,Selby,,30,17,47,64,,5,75,42,114,,0,178,122
E06000014,,York,,,45,138,183,306,,45,586,67,592,,0,898,769
E06000011,,East Riding of Yorkshire,,,28,328,356,0,,5,380,81,0,,580,580,736
E06000010,,"Kingston upon Hull, City of",,,170,0,170,235,,7,"1,199",106,"1,309",,0,"1,544","1,369"
E06000012,,North East Lincolnshire,,,101,112,213,229,,0,390,42,422,,27,678,603
E06000013,,North Lincolnshire,,,18,190,208,0,,42,219,32,0,,559,559,427
E11000006,,West Yorkshire,,,637,532,"1,169","1,824",,281,"9,018",445,"9,920",,"2,707","14,451","10,187"
E08000032,,,Bradford,,211,9,220,357,,152,"2,088",107,"2,654",,0,"3,011","2,308"
E08000033,,,Calderdale,,81,12,93,210,,19,644,57,891,,172,"1,273",737
E08000034,,,Kirklees,,47,169,216,0,,..,"1,532",124,0,,"2,535","2,535","1,748"
E08000035,,,Leeds,,265,271,536,974,,88,"3,723",98,"4,833",,0,"5,807","4,259"
E08000036,,,Wakefield,,33,71,104,283,,22,"1,031",59,"1,542",,0,"1,825","1,135"
E11000003,,South Yorkshire,,,"1,040",105,"1,145",155,,..,"3,130",298,"1,083",,"4,208","5,446","4,275"
E08000016,,,Barnsley,,5,62,67,98,,3,443,88,572,,44,714,510
E08000017,,,Doncaster,,169,0,169,57,,..,501,86,511,,345,913,670
E08000018,,,Rotherham,,9,43,52,0,,0,806,87,0,,"1,165","1,165",858
E08000019,,,Sheffield,,857,0,857,0,,0,"1,380",37,0,,"2,654","2,654","2,237"
E12000004,East Midlands,,,,"1,946","2,796","4,742","1,317",,259,"8,130","1,139","3,542",,"11,814","16,673","12,872"
E06000015,,Derby,,,311,0,311,293,,2,878,73,791,,0,"1,084","1,189"
E10000007,,Derbyshire,,,231,476,707,0,,..,"1,244",281,303,,"2,199","2,502","1,951"
E07000032,,,Amber Valley,,82,102,184,0,,14,70,30,0,,297,297,254
E07000033,,,Bolsover,,0,9,9,0,,6,230,50,0,,327,327,239
E07000034,,,Chesterfield,,123,36,159,0,,0,346,31,0,,535,535,505
E07000035,,,Derbyshire Dales,,1,63,64,0,,0,32,27,0,,125,125,96
E07000036,,,Erewash,,18,135,153,0,,1,53,18,0,,253,253,206
E07000037,,,High Peak,,6,125,131,0,,14,136,32,0,,403,403,267
E07000038,,,North East Derbyshire,,1,6,7,0,,0,178,49,0,,259,259,185
E07000039,,,South Derbyshire,,0,0,0,0,,7,199,44,303,,0,303,199
E06000018,,Nottingham,,,420,0,420,0,,..,"1,197",22,0,,"2,330","2,330","1,617"
E10000024,,Nottinghamshire,,,138,891,"1,029",0,,..,749,138,0,,"2,277","2,277","1,778"
E07000170,,,Ashfield,,24,102,126,0,,1,65,11,0,,234,234,191
E07000171,,,Bassetlaw,,20,27,47,0,,1,84,30,0,,205,205,131
E07000172,,,Broxtowe,,2,146,148,0,,2,20,10,0,,176,176,168
E07000173,,,Gedling,,6,483,489,0,,47,233,17,0,,949,949,722
E07000174,,,Mansfield,,43,44,87,0,,4,119,26,0,,270,270,206
E07000175,,,Newark and Sherwood,,7,89,96,0,,8,29,19,0,,192,192,125
E07000176,,,Rushcliffe,,36,0,36,0,,9,199,25,0,,251,251,235
E10000019,,Lincolnshire,,,149,658,807,341,,..,865,209,534,,"1,520","2,395","1,672"
E07000136,,,Boston,,30,121,151,0,,0,49,12,40,,166,206,200
E07000137,,,East Lindsey,,52,91,143,0,,2,137,62,0,,391,391,280
E07000138,,,Lincoln,,29,2,31,35,,..,292,12,473,,0,508,323
E07000139,,,North Kesteven,,0,65,65,0,,13,179,49,0,,292,292,244
E07000140,,,South Holland,,34,0,34,0,,14,113,27,0,,306,306,147
E07000141,,,South Kesteven,,4,305,309,306,,4,28,18,21,,63,390,337
E07000142,,,West Lindsey,,0,74,74,0,,0,67,29,0,,302,302,141
E06000016,,Leicester,,,336,0,336,0,,10,"1,119",74,0,,"1,966","1,966","1,455"
E06000017,,Rutland,,,0,32,32,0,,2,76,11,78,,61,139,108
E10000018,,Leicestershire,,,24,523,547,124,,..,717,165,683,,692,"1,499","1,264"
E07000129,,,Blaby,,2,16,18,22,,2,139,33,154,,0,176,157
E07000130,,,Charnwood,,2,143,145,0,,28,209,49,289,,162,451,354
E07000131,,,Harborough,3,0,82,82,0,,..,49,24,24,,137,161,131
E07000132,,,Hinckley and Bosworth,,12,110,122,0,,0,41,18,20,,166,186,163
E07000133,,,Melton,,3,47,50,0,,4,20,11,0,,81,81,70
E07000134,,,North West Leicestershire,,3,91,94,102,,5,156,28,196,,0,298,250
E07000135,,,Oadby and Wigston,,2,34,36,0,,2,103,2,0,,146,146,139
E10000021,,Northamptonshire,,,337,216,553,559,,..,"1,285",166,"1,153",,769,"2,481","1,838"
E07000150,,,Corby,,114,0,114,266,,0,70,8,96,,15,377,184
E07000151,,,Daventry,,2,77,79,129,,0,11,12,18,,4,151,90
E07000152,,,East Northamptonshire,,1,110,111,0,,0,70,24,0,,149,149,181
E07000153,,,Kettering,,53,0,53,47,,0,58,22,79,,0,126,111
E07000154,,,Northampton,,136,0,136,48,,7,566,53,758,,105,911,702
E07000155,,,South Northamptonshire,,4,1,5,0,,0,382,32,0,,496,496,387
E07000156,,,Wellingborough,,27,28,55,69,,1,128,15,202,,0,271,183
