Department for Transport statistics,,,,,,,,,,,,,,,,,,
Taxi Statistics (https://www.gov.uk/government/organisations/department-for-transport/series/taxi-statistics),,,,,,,,,,,,,,,,,,
Table TAXI0104,,,,,,,,,,,,,,,,,,
"Taxis, Private Hire Vehicles (PHVs) and their drivers: England and Wales by licensing area, 31 March 2017 1",,,,,,,,,,,,,,,,,,
The figures in this table are outside the scope of National Statistics,,,,,,,,,,,,,,,,,,
,,,,,Licensed taxis and taxi drivers,,,,,Licensed private hire vehicles (PHVs) and drivers,,,,,,,,
LA code,Licensing Authority,,,,Wheelchair accessible taxis ,"Other 
taxis ","Total 
taxis",Taxi only licensed drivers,,Wheelchair accessible PHVs,"Other 
PHVs ","Total 
PHVs","Operator 
licences 
issued",PHV only licenced Drivers,,Dual taxi/PHV driver licences,"Total 
driver 
licences 
issued",Total licensed vehicles
,,,,,,,,,,,,,,,,,,
E12000001,North East,,,,"1,174","3,169","4,343","3,808",,145,"6,604","6,749",394,"6,533",,"3,861","14,202","11,092"
E06000048,,Northumberland,,,124,517,641,894,,16,409,425,87,710,,62,"1,666","1,066"
E06000005,,Darlington,,,7,176,183,209,,2,75,77,2,144,,86,439,260
E06000047,,County Durham,,,103,919,"1,022",957,,33,265,298,131,206,,518,"1,681","1,320"
E11000004,,Tyne and Wear,,,850,898,"1,748","1,424",,78,"4,204","4,282",110,"3,590",,"2,219","7,233","6,030"
E08000020,,,Gateshead,,109,85,194,101,,6,475,481,15,340,,233,674,675
E08000021,,,Newcastle upon Tyne,,441,340,781,615,,0,"1,991","1,991",33,"2,438",,556,"3,609","2,772"
E08000022,,,North Tyneside,,100,88,188,28,,0,"1,048","1,048",22,78,,"1,046","1,152","1,236"
E08000023,,,South Tyneside,,24,212,236,94,,30,270,300,10,205,,284,583,536
E08000024,,,Sunderland,,176,173,349,586,,42,420,462,30,529,,100,"1,215",811
E06000001,,Hartlepool,,,5,129,134,105,,4,161,165,5,286,,64,455,299
E06000003,,Redcar and Cleveland,,,4,78,82,19,,10,299,309,25,288,,160,467,391
E06000002,,Middlesbrough,,,69,189,258,142,,0,706,706,5,809,,400,"1,351",964
E06000004,,Stockton-on-Tees,,,12,263,275,58,,2,485,487,29,500,,352,910,762
,,,,,,,,,,,,,,,,,,
E12000002,North West,,,,"5,402","4,389","9,791","13,118",,668,"25,294","25,962","1,632","26,198",,"7,588","46,904","35,753"
E10000006,,Cumbria,,,105,818,923,"1,076",,45,459,504,142,665,,110,"1,851","1,427"
E07000026,,,Allerdale,,0,126,126,164,,0,69,69,27,98,,0,262,195
E07000027,,,Barrow-in-Furness,,3,132,135,157,,8,182,190,17,209,,0,366,325
E07000028,,,Carlisle,,78,126,204,216,,12,65,77,23,59,,43,318,281
E07000029,,,Copeland,,5,129,134,194,,9,76,85,35,151,,25,370,219
E07000030,,,Eden,,8,75,83,90,,8,19,27,18,56,,0,146,110
E07000031,,,South Lakeland,,11,230,241,255,,8,48,56,22,92,,42,389,297
E06000008,,Blackburn with Darwen,,,70,0,70,195,,10,690,700,48,840,,0,"1,035",770
E06000009,,Blackpool,,,131,125,256,347,,14,340,354,11,372,,261,980,610
E10000017,,Lancashire,,,408,"2,446","2,854","4,610",,128,"2,910","3,038",322,"2,982",,"1,489","9,081","5,892"
E07000117,,,Burnley,,38,0,38,53,,14,348,362,35,598,,27,678,400
E07000118,,,Chorley,,9,26,35,22,,0,135,135,18,74,,118,214,170
E07000119,,,Fylde,,7,94,101,66,,1,148,149,21,98,,190,354,250
E07000120,,,Hyndburn,,9,53,62,21,,2,416,418,28,416,,165,602,480
