
"model-based estimates of unemployment"
"ONS Crown Copyright Reserved [from Nomis on 16 November 2017]"
"Analysis   :","standard"
"Item Name  :","Unemployment count (model based)"
"Confidence :","95% confidence interval (+/-)"

"Date","ualad09:Cardiff","Conf","ualad09:Newport","Conf","ualad09:Swansea","Conf","ualad09:Cambridge","Conf","ualad09:Chelmsford","Conf","ualad09:Norwich","Conf","ualad09:Peterborough","Conf","ualad09:St Albans","Conf","ualad09:Derby","Conf","ualad09:Leicester","Conf","ualad09:Lincoln","Conf","ualad09:Nottingham","Conf","ualad09:Barking and Dagenham","Conf","ualad09:Barnet","Conf","ualad09:Bexley","Conf","ualad09:Brent","Conf","ualad09:Bromley","Conf","ualad09:Camden","Conf","ualad09:City of London","Conf","ualad09:Croydon","Conf","ualad09:Ealing","Conf","ualad09:Enfield","Conf","ualad09:Greenwich","Conf","ualad09:Hackney","Conf","ualad09:Hammersmith and Fulham","Conf","ualad09:Haringey","Conf","ualad09:Harrow","Conf","ualad09:Havering","Conf","ualad09:Hillingdon","Conf","ualad09:Hounslow","Conf","ualad09:Islington","Conf","ualad09:Kensington and Chelsea","Conf","ualad09:Kingston upon Thames","Conf","ualad09:Lambeth","Conf","ualad09:Lewisham","Conf","ualad09:Merton","Conf","ualad09:Newham","Conf","ualad09:Redbridge","Conf","ualad09:Richmond upon Thames","Conf","ualad09:Southwark","Conf","ualad09:Sutton","Conf","ualad09:Tower Hamlets","Conf","ualad09:Waltham Forest","Conf","ualad09:Wandsworth","Conf","ualad09:Westminster","Conf","ualad09:County Durham","Conf","ualad09:Newcastle upon Tyne","Conf","ualad09:Sunderland","Conf","ualad09:Carlisle","Conf","ualad09:Cheshire West and Chester","Conf","ualad09:Lancaster","Conf","ualad09:Liverpool","Conf","ualad09:Manchester","Conf","ualad09:Preston","Conf","ualad09:Salford","Conf","ualad09:Brighton and Hove","Conf","ualad09:Canterbury","Conf","ualad09:Chichester","Conf","ualad09:Oxford","Conf","ualad09:Portsmouth","Conf","ualad09:Southampton","Conf","ualad09:Winchester","Conf","ualad09:Bath and North East Somerset","Conf","ualad09:Bristol, City of","Conf","ualad09:Exeter","Conf","ualad09:Gloucester","Conf","ualad09:Plymouth","Conf","ualad09:Birmingham","Conf","ualad09:Coventry","Conf","ualad09:Herefordshire, County of","Conf","ualad09:Lichfield","Conf","ualad09:Stoke-on-Trent","Conf","ualad09:Wolverhampton","Conf","ualad09:Worcester","Conf","ualad09:Bradford","Conf","ualad09:Kingston upon Hull, City of","Conf","ualad09:Leeds","Conf","ualad09:Sheffield","Conf","ualad09:Wakefield","Conf","ualad09:York","Conf","country:England and Wales","Conf"

"Jan 2004-Dec 2004",8900,1500,3300,600,6000,1100,2800,600,2800,600,4000,700,3700,700,1700,400,7200,1200,11100,1800,2500,500,10700,1800,6000,1300,10300,2100,4700,1100,11800,2300,7300,1600,8500,1700,-,-,10900,2100,10500,2100,9200,1900,9100,1700,10800,2000,7500,1600,11600,2100,6500,1400,4500,1100,6600,1500,7600,1500,8900,1700,5100,1100,3500,800,14900,2900,12000,2300,5900,1200,11200,2100,7200,1500,4000,900,14000,2700,4300,1000,12000,2100,9300,1800,9600,2000,7900,1600,10900,-,9000,1500,8000,1400,1900,400,5200,-,3500,700,15500,2800,16200,2600,3700,700,5200,1000,8700,1400,2800,600,1600,300,3800,700,5300,1000,6400,1100,1500,300,2700,500,10700,1900,2600,500,2400,500,5700,1000,38100,5600,8300,1400,2700,500,1600,300,5800,1100,7500,1300,1800,400,12300,2200,8300,1500,17500,3000,14300,2600,5900,1200,3000,600,1241900,23500
"Apr 2004-Mar 2005",8600,1600,3300,600,5600,1000,2800,600,2900,600,4100,800,3800,700,1700,400,7100,1200,10700,1800,2600,500,10800,1800,6100,1300,10000,2100,4900,1200,11100,2300,7300,1700,8100,1800,-,-,11100,2300,10400,2100,9100,1900,9200,1800,10300,2000,7100,1600,11200,2200,6500,1400,4700,1200,6500,1500,7500,1500,8000,1600,4800,1100,3600,900,14200,2900,11000,2200,5800,1200,11000,2200,7300,1600,4000,900,13400,2700,4200,1000,11800,2200,9800,1900,9000,2000,7600,1700,10900,-,9100,1500,8300,1500,1900,400,5500,-,3500,700,16400,3000,15600,2700,3900,800,5000,1000,8700,1500,2600,600,1600,400,3600,700,5200,1000,6200,1100,1500,400,2800,600,10900,2000,2500,500,2500,500,5900,1100,38700,5800,8400,1500,2700,600,1700,400,6000,1100,7200,1300,1800,400,12000,2200,8200,1500,17000,3100,13600,2600,5700,1200,2800,600,1243100,23600
"Jul 2004-Jun 2005",8900,1500,3400,600,5600,1000,2900,600,3000,600,4200,800,3900,700,1700,400,6700,1200,10500,1700,2600,500,10300,1800,5900,1300,10500,2100,5100,1200,11000,2200,7100,1600,8600,1800,-,-,11600,2200,11100,2100,10400,2100,9700,1800,9900,1900,7300,1500,10500,2000,7100,1500,4900,1200,7000,1500,8000,1600,8300,1600,5100,1200,3700,900,13600,2700,10900,2200,6500,1300,10600,2100,8300,1700,3900,900,12400,2400,4300,1000,12100,2200,9700,1800,10100,2100,8100,1700,11300,-,8800,1500,8200,1400,2000,400,5500,-,3300,700,16100,2900,14600,2500,3800,700,5000,900,8700,1500,2600,600,1800,400,3800,800,5200,1000,6300,1100,1600,300,2600,500,10700,2000,2500,500,2500,500,6000,1100,39400,5700,8100,1400,2700,500,1600,300,6000,1100,6800,1200,1700,400,12100,2200,8400,1500,17700,3100,13000,2400,6500,1200,2900,600,1255800,23800
"Oct 2004-Sep 2005",9100,1600,3700,600,5600,1000,2900,600,2900,600,4100,800,3900,700,1700,400,6400,1100,11100,1800,2700,500,10000,1700,5900,1200,11200,2200,5200,1200,11200,2300,7100,1600,7700,1700,-,-,12100,2300,11700,2200,11900,2300,10200,1900,10100,1900,6000,1300,10600,2000,6900,1400,5000,1200,6900,1500,8100,1600,7500,1500,4800,1100,3800,900,13200,2600,11200,2200,7000,1400,11100,2100,8500,1600,3800,900,11500,2300,4100,900,11100,2100,10000,1800,9100,2000,7400,1600,11000,-,8500,1400,8000,1400,2000,400,5600,-,3300,600,18400,3100,14700,2500,3700,700,5100,900,8600,1500,2600,600,1700,400,3900,800,5300,1000,6700,1200,1600,300,2600,500,10200,1900,2500,500,2500,500,5900,1100,37200,5400,8200,1400,2700,500,1600,300,6100,1100,7100,1300,1700,400,12000,2100,8300,1500,18600,3100,12300,2300,6600,1200,2900,600,1258400,24000
"Jan 2005-Dec 2005",9800,1600,3800,600,5800,1000,3100,600,3100,600,4200,800,4200,700,1800,400,6700,1100,12300,1900,2800,500,11200,1800,6600,1300,11500,2200,5700,1200,10500,2000,7600,1600,8500,1700,-,-,12400,2200,12100,2200,12000,2200,10300,1800,9500,1800,6800,1300,9600,1700,7000,1400,5400,1200,8100,1600,7800,1400,7900,1500,5200,1100,4100,900,12300,2300,10000,1900,6900,1300,10000,1900,8500,1600,4100,900,11200,2100,4800,1000,11600,2100,10200,1800,9800,2000,8300,1600,10800,-,8300,1400,8000,1300,2200,500,6100,-,3600,700,18700,3100,16700,2600,4000,700,5900,900,8500,1400,3000,600,1700,400,3900,700,5400,900,6600,1100,1700,300,2500,500,10100,1800,2400,500,2500,500,6300,1100,38400,5400,8300,1400,2900,500,1600,300,6300,1100,7200,1200,1800,400,12400,2100,8800,1500,21700,3300,13300,2300,7400,1300,3100,600,1305200,24900
"Apr 2005-Mar 2006",9600,1900,4200,800,5900,1300,3300,900,3000,800,4300,1200,4300,900,1800,500,6100,1300,12900,2300,2700,800,11900,2200,7000,1600,11900,2800,5700,1500,10900,2600,7600,1900,9300,2200,-,-,12600,2800,14500,3000,12500,2700,10400,2200,10000,2100,8000,1700,10600,2200,7800,1900,5900,1600,9900,2300,9400,2100,8700,2000,6000,1400,4700,1200,12700,2800,10300,2300,7500,1700,10200,2200,8200,1900,4100,1100,11400,2600,4800,1300,12300,2500,10600,2200,11100,2700,10300,2300,12700,-,8800,1700,8400,1700,2200,700,5600,-,3400,1000,17800,3300,16800,3200,3600,1000,6300,1200,9200,1800,3600,1000,1800,500,4100,1100,5800,1200,7200,1400,1700,500,2600,700,9900,2200,2500,700,2500,800,6400,1400,40300,6200,9200,1800,2900,700,1500,500,6300,1300,7500,1500,2100,600,13300,2700,8600,1700,23500,4200,15100,3100,8000,1700,3200,800,1347500,30400
"Jul 2005-Jun 2006",9600,2000,4300,900,5900,1300,4100,1200,3100,900,4500,1300,4600,1000,2100,600,6300,1300,13600,2400,2800,800,13800,2500,7300,1600,11700,2800,6200,1700,11700,2800,8800,2200,9100,2100,-,-,12400,2800,14700,3100,11300,2600,9700,2200,10400,2200,7600,1700,11600,2400,8100,2000,5900,1600,10800,2500,9200,2100,8100,1900,6100,1500,4600,1200,12800,2900,11000,2500,7300,1700,12000,2500,7900,1900,4700,1200,11800,2700,5100,1300,12100,2500,10400,2200,11600,2900,10600,2400,12800,-,9300,1800,8100,1700,2400,700,6100,-,3500,1000,18600,3500,16900,3300,3600,1100,6600,1300,9400,1800,4100,1200,2100,600,4700,1300,6100,1300,7800,1600,1700,500,2700,700,11200,2500,2800,800,2700,800,7200,1500,39900,6300,10000,2000,3100,800,1600,500,6600,1400,7800,1600,2200,700,13600,2800,8700,1800,24200,4400,17200,3400,7700,1700,3500,900,1415200,31200
"Oct 2005-Sep 2006",9500,2000,4400,900,6000,1300,3600,1100,3300,1000,4500,1300,5400,1100,2200,700,5900,1300,12900,2300,2700,800,14100,2500,7700,1700,12300,2900,6800,1700,11500,2800,8600,2200,10000,2200,-,-,12200,2800,13400,2900,10200,2400,10400,2300,10700,2300,8500,1900,11200,2400,8100,2000,6300,1700,10300,2400,8900,2000,9200,2000,6100,1500,4500,1200,12700,2900,11000,2500,7100,1700,12300,2600,8700,2100,4700,1200,12100,2800,5500,1400,13000,2600,10100,2200,12700,3100,10600,2400,13700,-,10200,1900,9000,1800,2400,700,6400,-,3300,1000,18800,3500,16900,3200,3800,1100,6700,1300,9300,1800,4600,1200,2300,600,4400,1200,6200,1300,8000,1600,2000,600,3100,800,10400,2400,2700,800,2800,800,7700,1600,43800,6600,10300,2000,3400,800,1700,500,6000,1300,8300,1700,2400,700,15200,3000,9200,1800,24100,4300,18400,3500,8200,1800,4500,1000,1463500,31900
"Jan 2006-Dec 2006",9200,1800,4000,800,6000,1200,3500,1000,3400,900,4500,1200,4900,1000,2300,600,6600,1300,12900,2200,2900,800,13200,2300,6900,1500,11300,2600,6300,1500,12200,2800,8000,1900,9200,2000,-,-,11900,2600,12100,2600,9600,2200,9500,2100,11800,2400,7800,1700,11500,2500,7900,1800,5500,1400,8700,2000,9400,2000,8800,1900,5800,1400,3900,1000,13100,2900,11400,2500,6800,1500,13500,2700,8800,2000,4100,1000,13200,2900,5100,1300,13400,2600,9700,2100,11900,2800,9600,2100,14400,-,10500,1800,9800,1800,2500,600,6800,-,3400,900,18400,3400,16000,2900,4000,1000,6800,1300,9500,1700,4300,1100,2300,600,4600,1100,6200,1200,8300,1500,2100,600,3100,700,10100,2200,2700,700,2500,700,7300,1500,43200,6400,10000,1900,3100,700,1800,500,5800,1200,8200,1600,2100,600,14700,2900,9700,1800,21800,3900,17900,3300,7800,1700,4700,1000,1461900,32100
